id_filme,titulo,ano,data_lancamento,generos,duracao,pais,idioma,orcamento,receita,receita_eua,nota_imdb,num_avaliacoes,direcao,roteiro,producao,elenco,descricao,num_criticas_publico,num_criticas_critica
tt0018379,7th Heaven,1927,1928-01-30,"Drama, Romance",110,USA,English,1300000,NA,NA,7.6,3098,Frank Borzage,"Austin Strong, Benjamin Glazer",Frank Borzage Production,"Janet Gaynor, Charles Farrell, Albert Gran, David Butler, Marie Mosquini, Gladys Brockwell, Emile Chautard, Ben Bard, George E. Stone","A street cleaner saves a young woman's life, and the pair slowly fall in love until war intervenes.",32,34
tt6587640,Trolls World Tour,2020,2020-04-10,"Animation, Adventure, Comedy",90,USA,English,90000000,14078268,NA,6.1,11890,"Walt Dohrn, David P. Smith","Jonathan Aibel, Glenn Berger",DreamWorks Animation,"Anna Kendrick, Justin Timberlake, Rachel Bloom, James Corden, Ron Funches, Kelly Clarkson, Anderson .Paak, Sam Rockwell, George Clinton, Mary J. Blige, Kenan Thompson, Kunal Nayyar, Caroline Hjelt, Aino Jawo, J Balvin","When the Queen of the Hard Rock Trolls tries to take over all the Troll kingdoms, Queen Poppy and her friends try different ways to save all the Trolls.",228,93
tt0234354,Novocaine,2001,2001-11-23,"Comedy, Crime, Drama",95,USA,"English, French",8000000,2534372,2036682,5.8,10580,David Atkins,"Paul Felopulos, David Atkins",Artisan Entertainment,"Chelcie Ross, Steve Martin, Laura Dern, Lynne Thigpen, Polly Noonan, Helena Bonham Carter, JoBe Cerny, Elias Koteas, Yasen Peyankov, Scott Caan, Teri Cotruzzola, Lucina Paquet, Preston Maybank, Sally Kao, Quincy Wong",A dentist finds himself a murder suspect after a sexy patient seduces him & steals all of the drugs from his practice.,102,73
tt1999890,Hell Fest,2018,2018-10-31,"Horror, Thriller",89,USA,English,5500000,18159691,11107431,5.5,12863,Gregory Plotkin,"Seth M. Sherwood, Blair Butler",CBS Films,"Cynthea Mercado, Stephen Conroy, Amy Forsyth, Reign Edwards, Bex Taylor-Klaus, Christian James, Matt Mercurio, Roby Attal, George Howard Adams, Courtney Dietz, Markus Silbiger, Michael Tourek, Tony Todd, Aaron Gillespie, Cecil Elmore Jr.","A masked serial killer turns a horror-themed amusement park into his own personal playground, terrorizing a group of friends while the rest of the patrons believe that it is all part of the show.",238,122
tt0062377,Tobruk,1967,1967-03-10,"Drama, War",107,USA,"English, German, Italian, Arabic",6000000,NA,NA,6.4,2789,Arthur Hiller,Leo Gordon,Universal Pictures,"Rock Hudson, George Peppard, Nigel Green, Guy Stockwell, Jack Watson, Percy Herbert, Norman Rossington, Liam Redmond, Heidy Hunt, Leo Gordon, Robert Wolders, Anthony Ashdown, Curt Lowens, Rico Cattani, Peter Coe","A Canadian POW major is rescued by a special British military unit made up of Germans to help lead an attack on a major Nazi fuel depot in Tobruk, Libya.",34,19
tt0096320,Twins,1988,1989-03-17,"Comedy, Crime",107,USA,English,15000000,216614388,111938388,6.1,111813,Ivan Reitman,"William Davies, William Osborne",Universal Pictures,"Arnold Schwarzenegger, Danny DeVito, Kelly Preston, Chloe Webb, Bonnie Bartlett, Marshall Bell, Trey Wilson, David Caruso, Hugh O'Brian, Tony Jay, Nehemiah Persoff, Maury Chaykin, Tom McCleister, David Efron, Peter Dvorsky","A physically perfect but innocent man goes in search of his long-lost twin brother, who is short, a womanizer, and small-time crook.",109,40
tt0048191,I'll Cry Tomorrow,1955,1955-12-25,"Biography, Drama, Music",117,USA,English,2147000,NA,NA,7.2,1869,Daniel Mann,"Helen Deutsch, Jay Richard Kennedy",Metro-Goldwyn-Mayer (MGM),"Susan Hayward, Richard Conte, Eddie Albert, Jo Van Fleet, Don Taylor, Ray Danton, Margo, Virginia Gregg, Don 'Red' Barry, David Kasday, Carole Ann Campbell, Peter Leeds, Tol Avery","Deprived of a normal childhood by her ambitious mother, Katie, Lillian Roth becomes a star of Broadway and Hollywood before she is twenty. Shortly before her marriage to her childhood ...",34,18
tt0119313,Hope Floats,1998,1998-08-28,"Drama, Romance",114,USA,English,30000000,81471882,60053195,6.1,24103,Forest Whitaker,Steven Rogers,Twentieth Century Fox,"Sandra Bullock, Harry Connick Jr., Gena Rowlands, Mae Whitman, Michael Paré, Cameron Finley, Kathy Najimy, Bill Cobbs, Connie Ray, Mona Lee Fultz, Sydney Berry, Rachel Snow, Christina Stojanovich, Alissa Alban, Dee Hennigan","Birdee Calvert must choose between her morals and her heart after her husband divorces her and a charming young man, who her daughter disapproves of, comes back into her life.",167,68
tt0087262,Firestarter,1984,1984-09-01,"Action, Horror, Sci-Fi",114,USA,English,15000000,17080167,17080167,6.1,28732,Mark L. Lester,"Stephen King, Stanley Mann",Dino De Laurentiis Company,"David Keith, Drew Barrymore, Freddie Jones, Heather Locklear, Martin Sheen, George C. Scott, Art Carney, Louise Fletcher, Moses Gunn, Antonio Fargas, Drew Snyder, Curtis Credel, Keith Colbert, Dick Warlock, Jeff Ramsey",A couple who participated in a potent medical experiment gain telepathic ability and then have a child who is pyrokinetic.,117,81
tt0079688,Over the Edge,1979,1979-07-07,"Crime, Drama",95,USA,English,NA,NA,NA,7.4,5920,Jonathan Kaplan,"Charles S. Haas, Tim Hunter",Orion Pictures,"Michael Eric Kramer, Pamela Ludwig, Matt Dillon, Vincent Spano, Tom Fergus, Harry Northup, Andy Romano, Ellen Geer, Richard Jamison, Julia Pomeroy, Tiger Thompson, Eric Lalich, Kim Kliner, Frank Mugavero, Kristina Hanson",A group of bored teenagers rebel against authority in the community of New Granada after the death of one of their own.,92,50
